"Class","Compound","gene","change_freq","change_int","Cell_line"
"Methylase","Sinefungin","Myc",-0.091435561003794,0.00613379578173001,"MCF7"
"Methylase","Sinefungin","Nras",0.17029651663951,-0.00718288158774005,"MCF7"
"Methylase","Sinefungin","P53",0.140660430839,0.0724580036247899,"MCF7"
"Methylase","Sinefungin","Rab7a",-0.034931477310049,-0.011822675841895,"MCF7"
"Methylase","Sinefungin","RhoA",0.0280966875692401,0.08917771781832,"MCF7"
"Methylase","Sinefungin","Rpap3",-0.007062405581581,-0.068753082699881,"MCF7"
"Methylase","Sinefungin","Sec16a",0.37601623181578,0.00132308218437993,"MCF7"
"Methylase","Sinefungin","Slc2a1",-0.275831785507479,0.61824130454075,"MCF7"
"HDAC","Scriptaid","Canx",-0.070521808823806,-0.145471915828114,"MCF7"
"HDAC","Scriptaid","Dnajc5",-0.306649540291058,-0.18344886059698,"MCF7"
"HDAC","Scriptaid","Egfr",0.0656411086580799,-0.21693681223315,"MCF7"
"HDAC","Scriptaid","Errfi1",0.83129067902206,-0.06992495599181,"MCF7"
"HDAC","Scriptaid","Gapdh",0.05253792428489,0.03441021559374,"MCF7"
"HDAC","Scriptaid","Kpnb1",-0.682080765140992,-0.207331805095584,"MCF7"
"HDAC","Scriptaid","Myc",-0.357466924134787,-0.211496283894854,"MCF7"
"HDAC","Scriptaid","Nras",-0.245918636203433,-0.072337746916193,"MCF7"
"HDAC","Scriptaid","P53",-0.207575192348446,-0.045956268244721,"MCF7"
"HDAC","Scriptaid","Rab7a",0.01283424605488,-0.05252676738507,"MCF7"
"HDAC","Scriptaid","RhoA",0.0910672851727301,0.00032103676101003,"MCF7"
"HDAC","Scriptaid","Rpap3",0.56447369658394,-0.06253456978801,"MCF7"
"HDAC","Scriptaid","Sec16a",-0.077089095237916,-0.140619541755382,"MCF7"
"HDAC","Scriptaid","Slc2a1",0.7559231411863,-0.107923172150089,"MCF7"
"HDAC","Apicidin","Canx",0.15234469871575,-0.12301951044359,"MCF7"
"HDAC","Apicidin","Dnajc5",-0.01304039346374,-0.078508179772737,"MCF7"
"HDAC","Apicidin","Egfr",-0.058734939759036,-0.25179677508811,"MCF7"
"HDAC","Apicidin","Errfi1",2.48838274142738,-0.044147874043861,"MCF7"
"HDAC","Apicidin","Gapdh",0.21219828141637,0.43389899166601,"MCF7"
"HDAC","Apicidin","Kpnb1",-0.82239733407303,-0.264890899242779,"MCF7"
"HDAC","Apicidin","Myc",-0.378010961362173,-0.262019354124116,"MCF7"
"HDAC","Apicidin","Nras",-0.581875035673982,-0.081863961229427,"MCF7"
"HDAC","Apicidin","P53",-0.658084759504638,-0.061724634530621,"MCF7"
"HDAC","Apicidin","Rab7a",0.02181877677855,-0.082661570586878,"MCF7"
"HDAC","Apicidin","RhoA",0.07290281056639,0.0329287884843701,"MCF7"
"HDAC","Apicidin","Rpap3",1.39440088684754,-0.067255432031607,"MCF7"
"HDAC","Apicidin","Sec16a",0.65883796657734,-0.053761006534739,"MCF7"
"HDAC","Apicidin","Slc2a1",0.81283998876922,-0.091895503012267,"MCF7"
